Card Type Code,Card Type Full Name,Issuing Bank,Card Number,Card Holder's Name,CVV/CVV2,Issue Date,Expiry Date,Billing Date,Card PIN,Credit Limit
AX,merican Express,merican Express,41417671620692,elen R Lucas,798,9/2017,9/2020,,066,0100 
AX,merican Express,merican Express,41728739318206,achel Turner,134,7/2015,7/2028,9,421,86700 
AX,merican Express,merican Express,44774454058244,andall Z Lott,026,1/2013,1/2021,8,813,4800 
AX,merican Express,merican Express,45631531175020,enry W Hewitt,525,5/2011,5/2023,5,880,8700 
AX,merican Express,merican Express,46077693838147,ebecca Jenkins,963,2/2014,2/2020,2,262,5000 
AX,merican Express,merican Express,46715514167929,arcus D Ashley,302,4/2013,4/2021,,724,8400 
AX,merican Express,merican Express,47364406683575,erald O Lee,614,8/2016,8/2022,3,652,7400 
AX,merican Express,merican Express,70138166851022,eremy N White,594,7/2009,7/2016,,248,99000 
AX,merican Express,merican Express,70760148157259,esse J Perez,555,6/2015,6/2032,5,493,8000 
AX,merican Express,merican Express,71048488202599,raig Gonzalez,664,8/2015,8/2025,,040,0700 
AX,merican Express,merican Express,71829323665854,alter B Lopez,580,9/2009,9/2012,7,909,40400 
AX,merican Express,merican Express,73818432827966,harles R Farrell,890,0/2012,0/2030,,444,1400 
AX,merican Express,merican Express,74521213444907,oward C Dunlap,937,1/2017,1/2027,8,677,87700 
AX,merican Express,merican Express,79862859443935,ynthia Evans,995,8/2017,8/2034,5,735,5700 
AX,merican Express,ank of America,44850003945824,hristine E Kim,819,8/2011,8/2013,,017,7700 
AX,merican Express,SAA,45283519946202,eather Wong,812,2/2012,2/2020,,170,0700 
DC,iners Club International,iners Club,0018385606211,manda L Soto,51,4/2007,4/2020,7,941,50100 
DC,iners Club International,iners Club,0074512207043,ouis Martinez,20,7/2007,7/2021,6,735,9500 
DC,iners Club International,iners Club,0082494556063,elen P Perry,09,2/2007,2/2020,3,319,1900 
DC,iners Club International,iners Club,0136262165745,eremy P Price,82,8/2016,8/2028,6,665,7800 
DC,iners Club International,iners Club,0179045289812,udith I Rollins,83,8/2014,8/2031,4,937,5300 
DC,iners Club International,iners Club,0183046434146,leanor Crane,32,0/2014,0/2017,6,331,8300 
DC,iners Club International,iners Club,0240341569594,oe N Mccarty,09,0/2015,0/2027,2,766,3300 
DC,iners Club International,iners Club,0295201231669,awn U Reese,70,2/2015,2/2016,1,915,2700 
DC,iners Club International,iners Club,0303893030165,iane R Ross,37,5/2011,5/2018,6,008,77200 
DC,iners Club International,iners Club,0316633926872,aura N Jackson,06,1/2015,1/2024,6,900,3900 
DC,iners Club International,iners Club,0318443720172,harles R Brooks,24,1/2011,1/2017,3,808,4600 
DC,iners Club International,iners Club,0345286399871,orothy H Le,79,6/2007,6/2022,,913,35700 
DC,iners Club International,iners Club,0468387466900,lice G Mitchell,78,9/2011,9/2012,,377,8000 
